OBJECTID,ID,NAME,STATE,STATUS,COUNTRY,LATITUDE,LONGITUDE,WELLIDNO,API,PERMITNO,OPERATOR,PRODTYPE,FIELD,COMPDATE,ID_LINK,GlobalID
639,SW48000639,CLEVELAND AGENTS UNIT,TX,ACTIVE WELL,USA,30.02961195,-95.2576386,32444,4220132444D2,445857,REDBIRD OILFIELD SERVICES CORP.,UNKNOWN,CROSS CREEK (WILCOX),,W480482635,{55473B91-2CB6-4665-BC9E-A6C1A5B05F0E}
640,SW48000640,BAHR INTEREST ET AL UNIT,TX,ACTIVE WELL,USA,30.01867425,-95.26941516,32437,4220132437D5,444941,CHEVRON U. S. A. INC.,UNKNOWN,CROSS CREEK (WILCOX),,W480482647,{31AA3CE2-1BD9-43F8-AA5B-6A899FAB6C09}
641,SW48000641,BAHR INTEREST ET AL UNIT,TX,ACTIVE WELL,USA,30.01455927,-95.27223431,32437,4220132437D1,444941,CHEVRON U. S. A. INC.,UNKNOWN,CROSS CREEK (WILCOX),,W480482647,{FE4DAB94-8432-4F64-AC0F-B631A79FDA5C}
642,SW48000642,BAHR INTEREST ET AL UNIT,TX,ACTIVE WELL,USA,30.01450258,-95.27437557,32437,4220132437D4,444941,CHEVRON U. S. A. INC.,UNKNOWN,CROSS CREEK (WILCOX),,W480482647,{0C9EF77D-A8FB-4642-8359-649461F17EB1}
643,SW48000643,BAHR INTEREST ET AL UNIT,TX,ACTIVE WELL,USA,30.0102301,-95.27815795,32437,4220132437D2,444941,CHEVRON U. S. A. INC.,UNKNOWN,CROSS CREEK (WILCOX),,W480482647,{0ED593FB-B023-4036-90FA-2C3FD8188726}
644,SW48000644,"PETRICH, THERESA",TX,ACTIVE WELL,USA,30.09001008,-95.64235702,00333,4220100333D1,-999,TORTUGA OPERATING COMPANY,UNKNOWN,"TOMBALL (HIRSCH, NW.)",,W480482640,{47C67006-E4C5-4E84-A7F2-E1639BFC2E72}
645,SW48000645,GEACCONE HEIRS,TX,ACTIVE WELL,USA,29.81929305,-95.25902744,32918,4220132918D1,785075,"BALLARD EXPLORATION COMPANY,INC.",UNKNOWN,CLINTON (MIOCENE 3850),,W480482586,{1774A29B-BA26-482D-9455-62ACDD0E6300}
646,SW48000646,HOLMES-ELLIOTT UNIT,TX,ACTIVE WELL,USA,29.85245627,-95.0309009,32314,4220132314D1,730600,"BLUEGRASS ENERGY, INC.",UNKNOWN,SRALLA ROAD (VICKSBURG),,W480483179,{A3CBCB2B-DCFA-4F76-8455-5BBBE7ADC654}
647,SW48000647,NOT AVAILABLE,TX,ACTIVE WELL,USA,29.8355305,-95.0624099,32504,4220132504D1,-999,NOT AVAILABLE,UNKNOWN,NOT AVAILABLE,,W480483191,{30FB20F5-07EA-4D56-BAA1-C9E6D7B67722}
648,SW48000648,JESSE BISHOP UNIT,TX,ACTIVE WELL,USA,29.82387714,-95.07206752,32550,4220132550D2,543419,"ETOCO, L.P.",UNKNOWN,"SRALLA ROAD (JACKSON, SW)",,W480483193,{679894E7-ECA1-4839-8625-D5A9A58959B0}
